sim_code,step,sim_time,created,node_a,node_b,n_turns,description
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:01:10,Hailey Johnson,Rajiv Patel,16,"conversing about Rajiv Patel and Hailey Johnson discussing their breakfast preferences, cooking experiences, and their creative projects, including Hailey's novel about artists and Rajiv's upcoming solo art show."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:02:30,Ayesha Khan,Wolfgang Schulz,11,"conversing about Ayesha Khan and Wolfgang Schulz discussing their academic preparations, with Ayesha working on her senior thesis about Shakespeare's language and Wolfgang studying for chemistry exams, while sharing study tips and offering support to each other."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:05:00,Giorgio Rossi,Isabella Rodriguez,16,"conversing about Isabella Rodriguez and Giorgio Rossi discussing plans for a Valentine's Day party at Isabella's cafe, including setting up activities, bringing desserts, and collaborating on ideas to make the event special."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:08:20,Abigail Chen,Francisco Lopez,15,"conversing about Abigail Chen and Francisco Lopez discussing their creative projects, specifically Abigail's animation project and Francisco's web series, while planning to brainstorm ideas together after Francisco's morning jog."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:19:30,Latoya Williams,Rajiv Patel,16,"conversing about Rajiv Patel and Latoya Williams discussing their upcoming art projects, promotional strategies, and the possibility of collaborating on a combined event to showcase their work."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:19:30,Abigail Chen,Francisco Lopez,15,"conversing about Abigail Chen and Francisco Lopez discussing their creative projects, specifically Abigail's animation project and Francisco's web series, while planning to brainstorm ideas together after Francisco's morning jog."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:19:40,Abigail Chen,Francisco Lopez,15,"conversing about Abigail Chen and Francisco Lopez discussing their creative projects, specifically Abigail's animation project and Francisco's web series, while planning to brainstorm ideas together after Francisco's morning jog."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:21:20,Latoya Williams,Rajiv Patel,16,"conversing about Rajiv Patel and Latoya Williams discussing their upcoming art projects, promotional strategies, and the possibility of collaborating on a combined event to showcase their work."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:21:20,Francisco Lopez,Hailey Johnson,13,"conversing about Hailey Johnson and Francisco Lopez discussing their creative projects, including Francisco's web series and Hailey's novel, while planning a collaborative brainstorming session with Abigail."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:21:30,Latoya Williams,Rajiv Patel,16,"conversing about Rajiv Patel and Latoya Williams discussing their upcoming art projects, promotional strategies, and the possibility of collaborating on a combined event to showcase their work."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:34:20,Latoya Williams,Rajiv Patel,16,"conversing about Rajiv Patel and Latoya Williams discussing their upcoming art projects, promotional strategies, and the possibility of collaborating on a combined event to showcase their work."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:34:20,Francisco Lopez,Hailey Johnson,13,"conversing about Hailey Johnson and Francisco Lopez discussing their creative projects, including Francisco's web series and Hailey's novel, while planning a collaborative brainstorming session with Abigail."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:34:40,Latoya Williams,Rajiv Patel,16,"conversing about Rajiv Patel and Latoya Williams discussing their upcoming art projects, promotional strategies, and the possibility of collaborating on a combined event to showcase their work."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:36:20,Latoya Williams,Rajiv Patel,16,"conversing about Rajiv Patel and Latoya Williams discussing their upcoming art projects, promotional strategies, and the possibility of collaborating on a combined event to showcase their work."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:36:20,Abigail Chen,Hailey Johnson,16,"conversing about Abigail Chen and Hailey Johnson discussing their creative projects, exploring ways to collaborate by integrating elements of comedy and real-life experiences into their respective works."
prepost_n15_calibration-1,600,2026-02-13 09:40:00,2026-02-13 09:36:30,Latoya Williams,Rajiv Patel,16,"conversing about Rajiv Patel and Latoya Williams discussing their upcoming art projects, promotional strategies, and the possibility of collaborating on a combined event to showcase their work."
