sim_code,step,sim_time,created,node_a,node_b,n_turns,description
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 08:00:10,John Lin,Mei Lin,16,"conversing about John Lin and Mei Lin discussing their busy day, including Mei's philosophy class and John's work at the pharmacy, while also planning to share insights about local mayoral candidates and catching up on family stories during lunch."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 08:00:10,Jane Moreno,Tom Moreno,14,"conversing about Jane and Tom discussing their busy schedules, concerns about the mayoral election and local businesses, and planning to attend a town hall meeting together."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 08:00:10,Jennifer Moore,Sam Moore,16,"conversing about Jennifer and Sam discussing her art exhibition, his mayoral campaign, and planning to have breakfast together while brainstorming ideas."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 08:00:50,Carmen Ortiz,Tamara Taylor,16,"conversing about Tamara Taylor and Carmen Ortiz discussing Tamara's children's book series, including character development, story ideas, and illustration techniques."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 08:16:50,Eddy Lin,Mei Lin,16,"conversing about Mei Lin and Eddy Lin discussing their plans for the day, including their classes in philosophy and music theory, and their excitement to share insights during lunch."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 08:29:10,Isabella Rodriguez,Sam Moore,7,conversing about Isabella Rodriguez and Sam Moore discussing their plans for breakfast on Thursday to brainstorm ideas for Jennifer's art exhibition and also sharing thoughts on how to make the Valentine's Day party at the cafe a special event.
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 08:31:00,Eddy Lin,John Lin,16,"conversing about Eddy Lin and John Lin discussing their plans for the day, including Eddy's classes at Oak Hill College and John's interest in gathering information about local mayoral candidates while also planning to share their findings during lunch."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 09:00:50,Ayesha Khan,Klaus Mueller,16,"conversing about Klaus Mueller and Ayesha Khan discussing gentrification research and its intersection with literature, including recommendations for books and plans to meet later in the week."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 09:01:20,Francisco Lopez,Latoya Williams,15,"conversing about Latoya Williams and Francisco Lopez discussing their plans for the day, including photography and script writing, and arranging to meet for coffee to share experiences and creative work."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 09:04:50,Giorgio Rossi,Isabella Rodriguez,10,conversing about Isabella Rodriguez and Giorgio Rossi discussing the incorporation of the Fibonacci sequence into decorations for a Valentine's Day party at Isabella's cafe.
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 09:14:40,Adam Smith,Tom Moreno,16,"conversing about Tom Moreno and Adam Smith discussing their opinions on mayoral candidates, particularly focusing on Sam Moore's disconnect with local businesses and the promising initiatives of Maria Lopez to support small businesses."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 09:20:40,Adam Smith,Tom Moreno,16,"conversing about Tom Moreno and Adam Smith discussing their opinions on mayoral candidates, particularly focusing on Sam Moore's disconnect with local businesses and the promising initiatives of Maria Lopez to support small businesses."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 09:21:20,Adam Smith,Tom Moreno,16,"conversing about Tom Moreno and Adam Smith discussing their opinions on mayoral candidates, particularly focusing on Sam Moore's disconnect with local businesses and the promising initiatives of Maria Lopez to support small businesses."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 09:21:40,Adam Smith,Tom Moreno,16,"conversing about Tom Moreno and Adam Smith discussing their opinions on mayoral candidates, particularly focusing on Sam Moore's disconnect with local businesses and the promising initiatives of Maria Lopez to support small businesses."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 09:25:10,Carlos Gomez,Isabella Rodriguez,16,"conversing about Isabella and Carlos discussing poetry themes, planning a Valentine's Day party at the cafe, and collaborating on decorations and quotes inspired by the Fibonacci sequence."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 09:28:40,Carlos Gomez,Isabella Rodriguez,16,"conversing about Isabella and Carlos discussing poetry themes, planning a Valentine's Day party at the cafe, and collaborating on decorations and quotes inspired by the Fibonacci sequence."
ncn_id_control_r2,3000,2023-02-13 16:20:00,2023-02-13 09:28:50,Carlos Gomez,Isabella Rodriguez,16,"conversing about Isabella and Carlos discussing poetry themes, planning a Valentine's Day party at the cafe, and collaborating on decorations and quotes inspired by the Fibonacci sequence."
