sim_code,step,sim_time,created,node_a,node_b,n_turns,description
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 08:00:10,John Lin,Mei Lin,16,"conversing about John Lin and Mei Lin discussing their busy day, including Mei's philosophy class and John's work at the pharmacy, while also planning to share insights about local mayoral candidates and catching up on family stories during lunch."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 08:00:10,Jane Moreno,Tom Moreno,14,"conversing about Jane and Tom discussing their busy schedules, concerns about the mayoral election and local businesses, and planning to attend a town hall meeting together."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 08:00:10,Jennifer Moore,Sam Moore,16,"conversing about Jennifer and Sam discussing her art exhibition, his mayoral campaign, and planning to have breakfast together while brainstorming ideas."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 08:00:50,Carmen Ortiz,Tamara Taylor,16,"conversing about Tamara Taylor and Carmen Ortiz discussing Tamara's children's book series, including character development, story ideas, and illustration techniques."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 08:16:50,Eddy Lin,Mei Lin,16,"conversing about Mei Lin and Eddy Lin discussing their plans for the day, including their classes in philosophy and music theory, and their excitement to share insights during lunch."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 08:29:10,Isabella Rodriguez,Sam Moore,7,conversing about Isabella Rodriguez and Sam Moore discussing their plans for breakfast on Thursday to brainstorm ideas for Jennifer's art exhibition and also sharing thoughts on how to make the Valentine's Day party at the cafe a special event.
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 08:31:00,Eddy Lin,John Lin,16,"conversing about Eddy Lin and John Lin discussing their plans for the day, including Eddy's classes at Oak Hill College and John's interest in gathering information about local mayoral candidates while also planning to share their findings during lunch."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:00:50,Ayesha Khan,Klaus Mueller,16,"conversing about Klaus Mueller and Ayesha Khan discussing gentrification research and its intersection with literature, including recommendations for books and plans to meet later in the week."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:01:20,Francisco Lopez,Latoya Williams,15,"conversing about Latoya Williams and Francisco Lopez discussing their plans for the day, including photography and script writing, and arranging to meet for coffee to share experiences and creative work."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:04:50,Giorgio Rossi,Isabella Rodriguez,10,conversing about Isabella Rodriguez and Giorgio Rossi discussing the incorporation of the Fibonacci sequence into decorations for a Valentine's Day party at Isabella's cafe.
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:14:40,Adam Smith,Tom Moreno,16,"conversing about Tom Moreno and Adam Smith discussing their opinions on mayoral candidates, particularly focusing on Sam Moore's disconnect with local businesses and the promising initiatives of Maria Lopez to support small businesses."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:20:40,Adam Smith,Tom Moreno,16,"conversing about Tom Moreno and Adam Smith discussing their opinions on mayoral candidates, particularly focusing on Sam Moore's disconnect with local businesses and the promising initiatives of Maria Lopez to support small businesses."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:21:20,Adam Smith,Tom Moreno,16,"conversing about Tom Moreno and Adam Smith discussing their opinions on mayoral candidates, particularly focusing on Sam Moore's disconnect with local businesses and the promising initiatives of Maria Lopez to support small businesses."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:21:40,Adam Smith,Tom Moreno,16,"conversing about Tom Moreno and Adam Smith discussing their opinions on mayoral candidates, particularly focusing on Sam Moore's disconnect with local businesses and the promising initiatives of Maria Lopez to support small businesses."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:25:10,Carlos Gomez,Isabella Rodriguez,16,"conversing about Isabella and Carlos discussing poetry themes, planning a Valentine's Day party at the cafe, and collaborating on decorations and quotes inspired by the Fibonacci sequence."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:28:40,Carlos Gomez,Isabella Rodriguez,16,"conversing about Isabella and Carlos discussing poetry themes, planning a Valentine's Day party at the cafe, and collaborating on decorations and quotes inspired by the Fibonacci sequence."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:28:50,Carlos Gomez,Isabella Rodriguez,16,"conversing about Isabella and Carlos discussing poetry themes, planning a Valentine's Day party at the cafe, and collaborating on decorations and quotes inspired by the Fibonacci sequence."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:31:20,Abigail Chen,Francisco Lopez,11,"conversing about Abigail Chen and Francisco Lopez discussing their creative projects, with Francisco sharing his web series about life in a co-living space and Abigail talking about her animation project, leading to plans for a collaborative coffee meeting with Latoya to brainstorm ideas."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:32:20,Ryan Park,Tom Moreno,16,"conversing about Ryan Park and Tom Moreno discussing Maria Lopez's initiatives to support local businesses in the upcoming mayoral election, focusing on the potential impact of workshops and community engagement."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:36:10,Arthur Burton,Latoya Williams,16,"conversing about Latoya Williams and Arthur Burton discussing their creative projects in mixology and photography, sharing ideas about local political events, and exchanging cocktail recipes and flavor preferences."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:36:40,Arthur Burton,Latoya Williams,16,"conversing about Latoya Williams and Arthur Burton discussing their creative projects in mixology and photography, sharing ideas about local political events, and exchanging cocktail recipes and flavor preferences."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:37:20,Arthur Burton,Latoya Williams,16,"conversing about Latoya Williams and Arthur Burton discussing their creative projects in mixology and photography, sharing ideas about local political events, and exchanging cocktail recipes and flavor preferences."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:41:00,Arthur Burton,Latoya Williams,16,"conversing about Latoya Williams and Arthur Burton discussing their creative projects in mixology and photography, sharing ideas about local political events, and exchanging cocktail recipes and flavor preferences."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:41:20,Arthur Burton,Latoya Williams,16,"conversing about Latoya Williams and Arthur Burton discussing their creative projects in mixology and photography, sharing ideas about local political events, and exchanging cocktail recipes and flavor preferences."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:46:30,Ryan Park,Tom Moreno,16,"conversing about Ryan Park and Tom Moreno discussing Maria Lopez's initiatives to support local businesses in the upcoming mayoral election, focusing on the potential impact of workshops and community engagement."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:48:10,Ryan Park,Tom Moreno,16,"conversing about Ryan Park and Tom Moreno discussing Maria Lopez's initiatives to support local businesses in the upcoming mayoral election, focusing on the potential impact of workshops and community engagement."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:48:30,Abigail Chen,Adam Smith,16,"conversing about Abigail Chen and Adam Smith discussing her animation project and how to incorporate local issues, particularly Maria Lopez's initiatives for small businesses, into their collaboration."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:48:40,Arthur Burton,Latoya Williams,16,"conversing about Latoya Williams and Arthur Burton discussing their creative projects in mixology and photography, sharing ideas about local political events, and exchanging cocktail recipes and flavor preferences."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:48:50,Abigail Chen,Adam Smith,16,"conversing about Abigail Chen and Adam Smith discussing her animation project and how to incorporate local issues, particularly Maria Lopez's initiatives for small businesses, into their collaboration."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:49:10,Abigail Chen,Adam Smith,16,"conversing about Abigail Chen and Adam Smith discussing her animation project and how to incorporate local issues, particularly Maria Lopez's initiatives for small businesses, into their collaboration."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:54:40,Isabella Rodriguez,Mei Lin,10,"conversing about Isabella Rodriguez and Mei Lin discussing Valentine’s Day party planning at the cafe, including creative decorations inspired by the Fibonacci sequence and sharing favorite quotes."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:55:20,Abigail Chen,Adam Smith,16,"conversing about Abigail Chen and Adam Smith discussing her animation project and how to incorporate local issues, particularly Maria Lopez's initiatives for small businesses, into their collaboration."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:55:30,Abigail Chen,Adam Smith,16,"conversing about Abigail Chen and Adam Smith discussing her animation project and how to incorporate local issues, particularly Maria Lopez's initiatives for small businesses, into their collaboration."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:56:10,Abigail Chen,Adam Smith,16,"conversing about Abigail Chen and Adam Smith discussing her animation project and how to incorporate local issues, particularly Maria Lopez's initiatives for small businesses, into their collaboration."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:56:20,Abigail Chen,Adam Smith,16,"conversing about Abigail Chen and Adam Smith discussing her animation project and how to incorporate local issues, particularly Maria Lopez's initiatives for small businesses, into their collaboration."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:57:20,Isabella Rodriguez,Mei Lin,10,"conversing about Isabella Rodriguez and Mei Lin discussing Valentine’s Day party planning at the cafe, including creative decorations inspired by the Fibonacci sequence and sharing favorite quotes."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 09:57:30,Isabella Rodriguez,Mei Lin,10,"conversing about Isabella Rodriguez and Mei Lin discussing Valentine’s Day party planning at the cafe, including creative decorations inspired by the Fibonacci sequence and sharing favorite quotes."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:08:50,John Lin,Tom Moreno,15,"conversing about John Lin and Tom Moreno discussing Maria Lopez's initiatives to support local businesses and their potential impact, as well as the types of workshops that may be offered, their goals for attending, and the importance of networking with other business owners."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:11:20,Adam Smith,Arthur Burton,16,"conversing about Arthur Burton and Adam Smith discussing local election candidates, particularly Maria Lopez, and planning to attend her events together while also exploring new cocktail recipes that incorporate local flavors."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:11:50,Adam Smith,Arthur Burton,16,"conversing about Arthur Burton and Adam Smith discussing local election candidates, particularly Maria Lopez, and planning to attend her events together while also exploring new cocktail recipes that incorporate local flavors."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:11:50,Ayesha Khan,Mei Lin,16,"conversing about Ayesha Khan and Mei Lin discussing the planning of a Valentine’s Day party, focusing on using the Fibonacci sequence for decorations and selecting quotes about nature and creativity."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:12:00,Adam Smith,Arthur Burton,16,"conversing about Arthur Burton and Adam Smith discussing local election candidates, particularly Maria Lopez, and planning to attend her events together while also exploring new cocktail recipes that incorporate local flavors."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:19:10,Carlos Gomez,Eddy Lin,16,"conversing about Carlos Gomez and Eddy Lin discussing their shared interests in poetry and music, exploring themes of nature and growth, and planning a collaboration that incorporates the Fibonacci sequence into their respective art forms."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:30:10,Abigail Chen,Latoya Williams,16,"conversing about Abigail Chen and Latoya Williams discussing Abigail's animation project incorporating local issues and Maria Lopez's initiatives for small businesses, as well as brainstorming ideas and sharing photography."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:33:20,Arthur Burton,Tom Moreno,16,conversing about Arthur Burton and Tom Moreno discussing collaboration on cocktails incorporating local flavors for an upcoming workshop hosted by Maria Lopez.
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:33:30,Adam Smith,John Lin,16,"conversing about Adam Smith and John Lin discussing ideas for workshops and events to benefit local entrepreneurs, including gathering input from local business owners and structuring the workshops effectively."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:33:40,Arthur Burton,Tom Moreno,16,conversing about Arthur Burton and Tom Moreno discussing collaboration on cocktails incorporating local flavors for an upcoming workshop hosted by Maria Lopez.
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:36:20,Giorgio Rossi,Sam Moore,16,"conversing about Sam Moore and Giorgio Rossi discussing their collaboration for Valentine's Day decorations inspired by mathematical patterns in nature, particularly the Fibonacci sequence, and planning to include flowers and eco-friendly materials."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:38:20,Giorgio Rossi,Sam Moore,16,"conversing about Sam Moore and Giorgio Rossi discussing their collaboration for Valentine's Day decorations inspired by mathematical patterns in nature, particularly the Fibonacci sequence, and planning to include flowers and eco-friendly materials."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:39:10,Giorgio Rossi,Sam Moore,16,"conversing about Sam Moore and Giorgio Rossi discussing their collaboration for Valentine's Day decorations inspired by mathematical patterns in nature, particularly the Fibonacci sequence, and planning to include flowers and eco-friendly materials."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:43:20,Giorgio Rossi,Sam Moore,16,"conversing about Sam Moore and Giorgio Rossi discussing their collaboration for Valentine's Day decorations inspired by mathematical patterns in nature, particularly the Fibonacci sequence, and planning to include flowers and eco-friendly materials."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:44:20,Giorgio Rossi,Sam Moore,16,"conversing about Sam Moore and Giorgio Rossi discussing their collaboration for Valentine's Day decorations inspired by mathematical patterns in nature, particularly the Fibonacci sequence, and planning to include flowers and eco-friendly materials."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:44:20,Eddy Lin,Mei Lin,16,"conversing about Mei Lin and Eddy Lin discussing their classes on music theory and philosophy, exploring connections between ethical theories and musical examples, and planning to analyze pieces that reflect moral dilemmas and cultural perspectives during their lunch meeting."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:44:30,Giorgio Rossi,Sam Moore,16,"conversing about Sam Moore and Giorgio Rossi discussing their collaboration for Valentine's Day decorations inspired by mathematical patterns in nature, particularly the Fibonacci sequence, and planning to include flowers and eco-friendly materials."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:48:30,Giorgio Rossi,Sam Moore,16,"conversing about Sam Moore and Giorgio Rossi discussing their collaboration for Valentine's Day decorations inspired by mathematical patterns in nature, particularly the Fibonacci sequence, and planning to include flowers and eco-friendly materials."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:51:20,Adam Smith,John Lin,16,"conversing about Adam Smith and John Lin discussing ideas for workshops and events to benefit local entrepreneurs, including gathering input from local business owners and structuring the workshops effectively."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:51:30,Adam Smith,John Lin,16,"conversing about Adam Smith and John Lin discussing ideas for workshops and events to benefit local entrepreneurs, including gathering input from local business owners and structuring the workshops effectively."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:52:20,Arthur Burton,John Lin,16,"conversing about John Lin and Arthur Burton discussing plans for a spring festival cocktail workshop that highlights local produce, engages the community, and involves local farmers and musicians."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 10:58:20,Isabella Rodriguez,Sam Moore,16,"conversing about Isabella Rodriguez and Sam Moore discussing ideas for decorations, quotes, flower arrangements, and live music for an upcoming Valentine's Day party."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:08:40,Isabella Rodriguez,Sam Moore,16,"conversing about Isabella Rodriguez and Sam Moore discussing ideas for decorations, quotes, flower arrangements, and live music for an upcoming Valentine's Day party."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:09:30,Isabella Rodriguez,Sam Moore,16,"conversing about Isabella Rodriguez and Sam Moore discussing ideas for decorations, quotes, flower arrangements, and live music for an upcoming Valentine's Day party."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:10:20,Arthur Burton,John Lin,16,"conversing about John Lin and Arthur Burton discussing plans for a spring festival cocktail workshop that highlights local produce, engages the community, and involves local farmers and musicians."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:14:00,Adam Smith,Latoya Williams,16,"conversing about Latoya Williams and Adam Smith discussing their collaboration on projects that incorporate insights from local business owners, photography, and local politics, while preparing for a meeting with Abigail."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:14:20,Isabella Rodriguez,Sam Moore,16,"conversing about Isabella Rodriguez and Sam Moore discussing ideas for decorations, quotes, flower arrangements, and live music for an upcoming Valentine's Day party."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:14:30,Isabella Rodriguez,Sam Moore,16,"conversing about Isabella Rodriguez and Sam Moore discussing ideas for decorations, quotes, flower arrangements, and live music for an upcoming Valentine's Day party."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:15:00,John Lin,Ryan Park,16,"conversing about Ryan Park and John Lin discussing plans for a spring festival cocktail workshop, including promotion strategies, tech integration, and community involvement."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:16:20,Eddy Lin,Isabella Rodriguez,16,"conversing about Isabella Rodriguez and Eddy Lin discussing plans for a Valentine's Day party, including decorations, music choices, quotes, treats, drinks, and overall space setup."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:17:40,Eddy Lin,Isabella Rodriguez,16,"conversing about Isabella Rodriguez and Eddy Lin discussing plans for a Valentine's Day party, including decorations, music choices, quotes, treats, drinks, and overall space setup."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:27:00,Eddy Lin,Isabella Rodriguez,16,"conversing about Isabella Rodriguez and Eddy Lin discussing plans for a Valentine's Day party, including decorations, music choices, quotes, treats, drinks, and overall space setup."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:28:50,Eddy Lin,Isabella Rodriguez,16,"conversing about Isabella Rodriguez and Eddy Lin discussing plans for a Valentine's Day party, including decorations, music choices, quotes, treats, drinks, and overall space setup."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:29:20,Carlos Gomez,Giorgio Rossi,16,"conversing about Giorgio Rossi and Carlos Gomez collaborating on incorporating themes of nature and the Fibonacci sequence into Valentine's Day decorations and poetry, including creating an interactive element for guests to engage with."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:29:20,Eddy Lin,Isabella Rodriguez,16,"conversing about Isabella Rodriguez and Eddy Lin discussing plans for a Valentine's Day party, including decorations, music choices, quotes, treats, drinks, and overall space setup."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:29:50,Eddy Lin,Isabella Rodriguez,16,"conversing about Isabella Rodriguez and Eddy Lin discussing plans for a Valentine's Day party, including decorations, music choices, quotes, treats, drinks, and overall space setup."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:30:00,Carlos Gomez,Giorgio Rossi,16,"conversing about Giorgio Rossi and Carlos Gomez collaborating on incorporating themes of nature and the Fibonacci sequence into Valentine's Day decorations and poetry, including creating an interactive element for guests to engage with."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:30:10,Carlos Gomez,Giorgio Rossi,16,"conversing about Giorgio Rossi and Carlos Gomez collaborating on incorporating themes of nature and the Fibonacci sequence into Valentine's Day decorations and poetry, including creating an interactive element for guests to engage with."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:34:20,Carlos Gomez,Giorgio Rossi,16,"conversing about Giorgio Rossi and Carlos Gomez collaborating on incorporating themes of nature and the Fibonacci sequence into Valentine's Day decorations and poetry, including creating an interactive element for guests to engage with."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:34:20,Eddy Lin,Sam Moore,16,"conversing about Eddy Lin and Sam Moore discussing plans for a Valentine's Day party, including music choices, decorations, and quotes to enhance the romantic atmosphere."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:34:30,Carlos Gomez,Giorgio Rossi,16,"conversing about Giorgio Rossi and Carlos Gomez collaborating on incorporating themes of nature and the Fibonacci sequence into Valentine's Day decorations and poetry, including creating an interactive element for guests to engage with."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:34:40,Eddy Lin,Sam Moore,16,"conversing about Eddy Lin and Sam Moore discussing plans for a Valentine's Day party, including music choices, decorations, and quotes to enhance the romantic atmosphere."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:35:00,Carlos Gomez,Giorgio Rossi,16,"conversing about Giorgio Rossi and Carlos Gomez collaborating on incorporating themes of nature and the Fibonacci sequence into Valentine's Day decorations and poetry, including creating an interactive element for guests to engage with."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:36:00,Ayesha Khan,Klaus Mueller,16,"conversing about Klaus Mueller and Ayesha Khan discussing their research on gentrification through literature, exploring connections between Shakespeare's works and contemporary texts, and planning a meeting to analyze various literary pieces related to their thesis."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:36:00,Eddy Lin,Sam Moore,16,"conversing about Eddy Lin and Sam Moore discussing plans for a Valentine's Day party, including music choices, decorations, and quotes to enhance the romantic atmosphere."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:36:20,Eddy Lin,Sam Moore,16,"conversing about Eddy Lin and Sam Moore discussing plans for a Valentine's Day party, including music choices, decorations, and quotes to enhance the romantic atmosphere."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:36:40,Carlos Gomez,Giorgio Rossi,16,"conversing about Giorgio Rossi and Carlos Gomez collaborating on incorporating themes of nature and the Fibonacci sequence into Valentine's Day decorations and poetry, including creating an interactive element for guests to engage with."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:36:40,Eddy Lin,Sam Moore,16,"conversing about Eddy Lin and Sam Moore discussing plans for a Valentine's Day party, including music choices, decorations, and quotes to enhance the romantic atmosphere."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:49:20,Francisco Lopez,Latoya Williams,16,"conversing about Latoya Williams and Francisco Lopez discussing their creative projects, including a web series about co-living and incorporating local business interviews and community issues into their work."
ncn_id_hub_r1,2400,2023-02-13 14:40:00,2023-02-13 11:50:20,Eddy Lin,Sam Moore,16,"conversing about Eddy Lin and Sam Moore discussing plans for a Valentine's Day party, including music choices, decorations, and quotes to enhance the romantic atmosphere."
